Job_Title,Company_Name,Location,Posted_Date,Job_Type,Experience_Required,Salary,Job_Link,Source_Website,Searched_For
Senior Data Analyst,Coptic Orphans,Cairo - Egypt,12 hrs ago,,"Collaborate with departments to enhance operational effectiveness through data analytics, design predictive models, and deliver actionable insights using advanced programming sk...",,https://www.naukrigulf.com/senior-data-analyst-jobs-in-cairo-egypt-in-coptic-orphans-3-to-8-years-n-cd-10005033-jid-010526500536,https://www.naukrigulf.com,Data Analyst
Data Analyst,Robusta Studio,Cairo - Egypt,22 Apr,,"Seeking a detail-oriented Data Analyst to analyze data, develop insights, support CRM strategies, and collaborate with teams for digital transformation.",,https://www.naukrigulf.com/data-analyst-jobs-in-cairo-egypt-in-robusta-studio-5-to-10-years-n-cd-40002060-jid-220426500485,https://www.naukrigulf.com,Data Analyst
Data Analyst,EZeats,Cairo - Egypt,30+ days ago,,"The role involves collecting and analyzing data, optimizing SQL queries, and developing dashboards using visualization tools while ensuring data quality.",,https://www.naukrigulf.com/data-analyst-jobs-in-cairo-egypt-in-ezeats-1-to-3-years-n-cd-40004606-jid-020326500006,https://www.naukrigulf.com,Data Analyst
"Data Analyst, AMET Central Data Analytics team",Souq.com for E-Commerce LLC,Egypt - Egypt,30+ days ago,,"The role involves developing data collection processes, generating reports using SQL, and supporting business decisions with analytical insights and automation solutions.",,https://www.naukrigulf.com/data-analyst-amet-central-data-analytics-team-jobs-in-egypt-in-souq-com-for-e-commerce-llc-1-to-6-years-n-cd-10002542-jid-100226501322,https://www.naukrigulf.com,Data Analyst
Senior Data Analyst,Foodics,Cairo - Egypt,30+ days ago,,"The role involves leading analytical projects, designing experiments, utilizing advanced SQL, and collaborating with teams to derive actionable insights.",,https://www.naukrigulf.com/senior-data-analyst-jobs-in-cairo-egypt-in-foodics-5-to-10-years-n-cd-10007645-jid-280126500268,https://www.naukrigulf.com,Data Analyst
Sr Client Data Analyst,RATP Dev,Cairo - Egypt,30+ days ago,,"Lead advanced financial analytics, optimize collection strategies, and automate reporting systems while ensuring compliance and promoting safety culture.",,https://www.naukrigulf.com/sr-client-data-analyst-jobs-in-cairo-egypt-in-ratp-dev-5-to-7-years-n-cd-10006212-jid-200226500865,https://www.naukrigulf.com,Data Analyst
Data Analyst,Itcan,Cairo - Egypt,30+ days ago,,"Transform raw data into insights by designing Power BI dashboards, managing data integration, and ensuring data accuracy while possessing strong analytical skills.",,https://www.naukrigulf.com/data-analyst-jobs-in-cairo-egypt-in-itcan-1-to-7-years-n-cd-10007329-jid-201125500481,https://www.naukrigulf.com,Data Analyst
BI Data Analyst,Nile Bits,Egypt - Egypt,30+ days ago,,"Analyze complex datasets to extract insights, communicate findings, develop statistical models, and drive innovation through data in a collaborative environment.",,https://www.naukrigulf.com/bi-data-analyst-jobs-in-egypt-in-nile-bits-1-to-7-years-n-cd-10004482-jid-110226500601,https://www.naukrigulf.com,Data Analyst
Senior Data Analyst,Elmenus,Cairo - Egypt,30+ days ago,,"Collaborate with global teams to translate business challenges into data requirements, design Tableau dashboards, and analyze complex datasets for insights.",,https://www.naukrigulf.com/senior-data-analyst-jobs-in-cairo-egypt-in-elmenus-3-to-4-years-n-cd-10004590-jid-020326500677,https://www.naukrigulf.com,Data Analyst
Data Analyst (Financial Analytics),tabby,Egypt - Egypt,30+ days ago,,"Drive financial automation and reporting, ensuring accurate accounting cycles and data validity, requiring strong analytical skills and proficiency in SQL and Excel.",,https://www.naukrigulf.com/data-analyst-jobs-in-egypt-in-tabby-2-to-7-years-n-cd-10008872-jid-070126501512,https://www.naukrigulf.com,Data Analyst
Trans Planning Data Analyst,Souq.com for E-Commerce LLC - G32,Cairo - Egypt,30+ days ago,,"Support intra-day transportation capacity management by monitoring dashboards, deploying changes accurately, and maintaining attention to detail in a flexible shift schedule.",,https://www.naukrigulf.com/trans-planning-data-analyst-jobs-in-cairo-egypt-in-souq-com-for-e-commerce-llc-g32-1-to-3-years-n-cd-10002542-jid-170326500467,https://www.naukrigulf.com,Data Analyst
Senior Data Analyst,Al-Shorouk Construction,Cairo - Egypt,30+ days ago,,"Collect and process data, develop dashboards using Power BI or Tableau, automate reporting with Python, and ensure data quality and compliance.",,https://www.naukrigulf.com/senior-data-analyst-jobs-in-cairo-egypt-in-al-shorouk-construction-3-to-7-years-n-cd-40001419-jid-071125500985,https://www.naukrigulf.com,Data Analyst
School Success Manager (IB / Cambridge Educators),Toddle,"Cairo , Giza , Alexandria - Egypt",30+ days ago,,"The role involves providing reactive and proactive support to schools, enhancing engagement, training, and improving educational interactions using technology.",,https://www.naukrigulf.com/school-success-manager-jobs-in-cairo-egypt-in-toddle-2-to-5-years-n-cd-338475-jid-250326000782,https://www.naukrigulf.com,Data Analyst
Mid/Senior Data Engineer,Yassir,Cairo - Egypt,23 Apr,,"Build and optimize data pipelines using GCP and SPARK, ensuring data quality and collaborating with teams for analytics and insights.",,https://www.naukrigulf.com/mid-senior-data-engineer-jobs-in-cairo-egypt-in-yassir-3-to-8-years-n-cd-40000091-jid-230426500532,https://www.naukrigulf.com,Data Analyst
Analytics Product Owner,Arrow Electronics Inc,Cairo - Egypt,21 Apr,,"Manage analytics product backlog, prioritize tasks, lead agile ceremonies, engage stakeholders, ensure quality deliverables, and possess strong communication skills.",,https://www.naukrigulf.com/analytics-product-owner-jobs-in-cairo-egypt-in-arrow-electronics-inc-3-to-8-years-n-cd-10003687-jid-210426500448,https://www.naukrigulf.com,Data Analyst
Head Of Finance,ARLA Group,Giza - Egypt,30+ days ago,,"Manage financial operations, oversee accounting, prepare financial statements, develop budgets, ensure compliance, and lead finance staff with strong analytical skills.",,https://www.naukrigulf.com/head-of-finance-jobs-in-giza-egypt-in-arla-group-5-to-10-years-n-cd-335731-jid-280226001082,https://www.naukrigulf.com,Data Analyst
Sr. Software Development Engineering,Orange,Egypt - Egypt,8 Apr,,"Develop strategic plans, provide technical leadership, foster innovation, collaborate with teams, optimize data systems, and ensure service quality.",,https://www.naukrigulf.com/sr-software-development-engineering-jobs-in-egypt-in-orange-5-to-7-years-n-cd-10003776-jid-080426500748,https://www.naukrigulf.com,Data Analyst
Head of Analytics,Yassir,Egypt - Egypt,7 Apr,,"Lead analytics strategy and team development, ensuring data-driven decision-making and operational excellence across diverse markets and business functions.",,https://www.naukrigulf.com/head-of-analytics-jobs-in-egypt-in-yassir-8-to-13-years-n-cd-40000091-jid-070426500608,https://www.naukrigulf.com,Data Analyst
BI Engineer Senior Associate,PricewaterhouseCoopers,Cairo - Egypt,30+ days ago,,"The role involves designing and deploying Power BI solutions, integrating data, optimizing queries, and collaborating with stakeholders for strategic insights.",,https://www.naukrigulf.com/bi-engineer-senior-associate-jobs-in-cairo-egypt-in-pricewaterhousecoopers-3-to-9-years-n-cd-10000093-jid-120226500387,https://www.naukrigulf.com,Data Analyst
"ETIC, BI Engineer (Financial Background), Senior Associate",PricewaterhouseCoopers,Cairo - Egypt,30+ days ago,,Seeking a skilled Business Intelligence Engineer with expertise in Power BI and a financial background to develop scalable BI solutions and insights.,,https://www.naukrigulf.com/etic-bi-engineer-senior-associate-jobs-in-cairo-egypt-in-pricewaterhousecoopers-3-to-8-years-n-cd-10000093-jid-071125501042,https://www.naukrigulf.com,Data Analyst
